Longitude,Latitude,Country,Day of Access,Time of Access,Time Taken (ms),Browser Language,User Agent,Screen Width,Screen Height,Decision
50.837309807581526,51.90704632621507,Guinea-Bissau,Friday,18:23:00,7627,ru,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",3840,2160,Denied
42.91483422644745,46.89375084865276,Equatorial Guinea,Wednesday,12:59:00,8899,ar,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",1920,1080,Denied
48.10269409569625,38.4352827727688,UAE,Wednesday,18:18:00,4715,fr,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1",1366,768,Granted
37.76910513192063,57.522098916774425,Micronesia,Thursday,06:04:00,3984,de,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7",1920,1080,Denied
36.154956628990625,42.44163124018335,Georgia,Sunday,09:41:00,7809,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1600,Denied
48.216345349909545,28.037290963103068,UAE,Sunday,12:36:00,8427,en-GB,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0.1,3200,1800,Denied
30.599732640120024,44.51755770409771,UAE,Friday,00:30:00,7768,en-US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1600,900,Granted
50.764494820271594,44.96296922903383,Russia,Monday,14:55:00,5449,fr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",1366,768,Denied
46.79998950177209,47.335887602748336,Armenia,Friday,03:20:00,8935,es,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0,2560,1440,Denied
47.8902451388753,30.542556210888524,Bulgaria,Wednesday,17:48:00,7999,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",3200,1800,Denied
57.4275783026395,29.110335346207066,New Zealand,Monday,17:09:00,2434,ru,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G960F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",3840,2160,Denied
